Question,Labels
Is rehabilitation covered?,list 1
Are hospital psychiatric services covered?,list 1
Is palliative care covered?,list 1
Is blood-related services covered?,list 1
Is bone marrow transfusion or transplant covered?,list 2
Are eye-related services covered?,list 1
Is cataract surgery covered?,list 1
"Are ear, nose, and throat treatments covered?",list 1
"Are bone, joint, and muscle treatments covered?",list 1
Is joint reconstruction covered?,list 1
Are joint replacements covered?,list 1
Is organ transplant covered?,list 2
Is dialysis for chronic kidney failure covered?,list 1
Are hernia and appendix surgeries covered?,list 1
Are heart and vascular system treatments covered?,list 1
Is gynaecology covered?,list 1
Are miscarriage and termination of pregnancy covered?,list 1
Are pregnancy and birth-related services covered?,list 1
Is male reproductive system treatment covered?,list 1
Is plastic and reconstruction surgery covered?,list 1
Are all Medicare recognized services covered?,list 2
Are accident and emergency department visits covered?,list 1
Are brain and nervous system treatments covered?,list 1
"Are tonsil, adenoid, and grommet surgeries covered?",list 1
Is digestive system treatment covered?,list 1
Is gastrointestinal endoscopy covered?,list 1
"Are chemotherapy, radiotherapy, and immunotherapy covered?",list 1
Is pain management covered?,list 1
Are skin treatments covered?,list 1
Is breast surgery covered?,list 1
Is diabetes management covered?,list 1
Are lung and chest treatments covered?,list 1
"Are back, neck, and spine treatments covered?",list 1
Is dental surgery covered?,list 1
Is podiatric surgery covered?,list 1
Is implantation of hearing devices covered?,list 1
Are kidney and bladder treatments covered?,list 1
Is weight loss surgery covered?,list 1
Is pain management with device covered?,list 1
Are sleep studies covered?,list 1
What is the coverage for inpatient medical costs?,list 3
What is the coverage for GP consultations?,list 3
What is the coverage for specialists consultations?,list 4
What is the coverage for pathology tests?,list 4
What is the coverage for radiology scans?,list 4
What is the coverage for allied health services?,list 4
What is the coverage for outpatient psychiatric services?,list 4
What is the coverage for outpatient pregnancy services?,list 4
What is the coverage for surgically implanted prostheses?,list 3
How many types of general practitioner (GP) services are there?,type
What is Level A service for a general practitioner?,A
Can you explain Level B service provided by a general practitioner?,B
What does Level C service involve for a general practitioner?,C
Could you explain Level D service provided by a general practitioner?,D
What is the fee for a general practitioner (GP) consultation?,fee
What is the Extended Medicare Safety Net Cap for GP consultations?,cap
What is the fee for a Level A general practitioner (GP) consultation?,fee a
What is the fee for a Level B general practitioner (GP) consultation (less than 20 minutes)?,fee b
What is the fee for a Level C general practitioner (GP) consultation (at least 20 minutes)?,fee c
What is the fee for a Level D general practitioner (GP) consultation (at least 40 minutes)?,fee d
What is OSHC?,Meaning
What is OSHC?,Meaning
What is OSHC in Australia?,Meaning
Is OSHC refundable?,Refundable
 What is the benefit of OSHC?,Benefit
Can I enter Australia before my OSHC starts?,Enter the country
Can I change my OSHC?,Transfer
ÊIs OSHC mandatory in Australia?,Important
Which Australian OSHC is best?,Companies
What is the full form of OSHC?,Meaning
What type of insurance can students take?,Meaning
How much is OSHC for couples in Australia?,Cost
What is family OSHC?,Family
What are OSHC fees?,Cost
What is single-parent OSHC?,Single parents
Which company is best for OSHC in Australia?,Companies
 Where to buy OSHC in Australia?,Buy
Can a couple get 2 OSHC single policies on the same student visa in Australia?,Couple
WILL I NEED TO GET A PRIVATE HEALTH INSURANCE POLICY WHEN I STUDY IN AUSTRALIA?,Important
CAN I PAY FOR MY OSHC INSURANCE IN MONTHLY INSTALLMENTS?,Monthly pay
