,services,details
0,Ambulance services,Unlimited emergency ambulance services Australia-wide. For ambulance attendance or transportation to a hospital where immediate professional attention is required and your medical condition is such that you couldn’t be transported any other way. 
1,Accident and emergency departments,"If you need to attend an accident and emergency department, we’ll pay 100% of any ‘facility fee’ charged by the hospital for attending their accident and emergency department. ~ "
2,Rehabilitation,"Hospital treatment for physical rehabilitation for a patient related to surgery or illness. For example: inpatient and admitted day patient rehabilitation, stroke recovery, cardiac rehabilitation."
3,Hospital psychiatric services,"Hospital treatment for the treatment and care of patients with psychiatric, mental, addiction or behavioural disorders. For example: psychoses such as schizophrenia, mood disorders such as depression, eating disorders and addiction therapy."
4,Palliative care,"Hospital treatment for care where the intent is primarily providing quality of life for a patient with a terminal illness, including treatment to alleviate and manage pain."
5,Brain and nervous system,"Hospital treatment for the investigation and treatment of the brain, brain-related conditions, spinal cord and peripheral nervous system.  For example: stroke, brain or spinal cord tumours, head injuries, epilepsy and Parkinson’s disease. Treatment of spinal column (back bone) conditions is listed separately under Back, neck and spine. Chemotherapy and radiotherapy for cancer is listed separately under Chemotherapy, radiotherapy and immunotherapy for cancer. "
6,Eye (not cataracts),"Hospital treatment for the investigation and treatment of the eye and the contents of the eye socket.  For example: retinal detachment, tear duct conditions, eye infections and medically managed trauma to the eye. Cataract procedures are listed separately under Cataracts. Eyelid procedures are listed separately under Plastic and reconstructive surgery.  "
7,"Ear, nose and throat","Hospital treatment for the investigation and treatment of the ear, nose, throat, middle ear, thyroid, parathyroid, larynx, lymph nodes and related areas of the head and neck.  For example: damaged ear drum, sinus surgery, removal of foreign bodies, stapedectomy and throat cancer. Tonsils, adenoids and grommets are listed separately under Tonsils, adenoids and grommets. The implantation of a hearing device is listed separately under Implantation of hearing devices. Orthopaedic neck conditions are listed separately under Back, neck and spine. Sleep studies are listed separately under Sleep studies.  "
8,"Tonsils, adenoids and grommets","Hospital treatment of the tonsils, adenoids and insertion or removal of grommets."
9,"Bone, joint and muscle","Hospital treatment for the investigation and treatment of diseases, disorders and injuries of the musculoskeletal system.  For example: carpal tunnel, fractures, hand surgery, joint fusion, bone spurs, osteomyelitis and bone cancer. Chest surgery is listed separately under Lung and chest. Spinal cord conditions are listed separately under Brain and nervous system. Spinal column conditions are listed separately under Back, neck and spine. Joint reconstructions are listed separately under Joint reconstructions. Joint replacements are listed separately under Joint replacements. Podiatric surgery performed by a registered podiatric surgeon is listed separately under Podiatric surgery (provided by a registered podiatric surgeon).  "
